title,type,year,rated,released,genre,director,writer,language,country,imdb_id,imdb_rating,imdb_votes,production,website,poster
Parasite,movie,2019,R,08 Nov 2019,"Comedy, Drama, Thriller",Bong Joon Ho,"Bong Joon Ho (story by), Bong Joon Ho (screenplay by), Jin-won Han (screenplay by)","Korean, English",South Korea,tt6751668,8.6,"566,337","CJ Entertainment, TMS Entertainment",N/A,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg
Prison Playbook,series,2017–2018,N/A,22 Nov 2017,"Comedy, Drama",N/A,N/A,Korean,South Korea,tt7622902,8.4,"1,676",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTQzMzYwNzEtY2U1Zi00MTA1LWJhZTctZjE2NjMzYjlmNmQwXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Weightlifting Fairy Kim Bok-Joo,series,2016–2017,N/A,16 Nov 2016,"Comedy, Romance",N/A,N/A,Korean,South Korea,tt6157148,8.4,"4,891",N/A,N/A,https://m.media-amazon.com/images/M/MV5BOTMwNTc0NDYtOWY2Yi00Y2QyLWFiODYtYzBmY2FlYjE4NjJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Tunnel,series,2017,N/A,25 Mar 2017,"Crime, Fantasy, Thriller",N/A,N/A,Korean,South Korea,tt6356086,8.3,"1,743",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTM1MzFkZGQtM2FkNC00ZGEyLTkwYWQtOWVkODhhM2NlYzkyXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Hyena,series,2020–,N/A,21 Feb 2020,"Drama, Romance",N/A,N/A,Korean,South Korea,tt11534164,7.8,502,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYzZmNjljMWQtMzE5MS00YjIzLTg2MGItMmNmNWE0MzEyYWFhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Kingdom,series,2019–,TV-MA,25 Jan 2019,"Action, Drama, Horror, Thriller",N/A,N/A,Korean,South Korea,tt6611916,8.4,"29,832",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTBlZmE4YzItNTY5Mi00NmIxLTlhZTAtOWIxNjFlNTMzNmI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
The Sound of Your Heart,series,2016–,N/A,07 Nov 2016,Comedy,N/A,N/A,Korean,South Korea,tt4613520,8.3,794,N/A,N/A,https://m.media-amazon.com/images/M/MV5BOTNjMDIyMDktMDQwOS00OGU0LWI1ZjAtNTliOTZlNzA0MmMzXkEyXkFqcGdeQXVyMjgxMTM2OQ@@._V1_SX300.jpg
Live,series,2018,N/A,10 Mar 2018,"Comedy, Crime, Drama",N/A,N/A,Korean,South Korea,tt7976532,8.4,842,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMmYwZWQ1NmUtYTM1My00NWZmLTk0NzAtMWY0YzFmYjlkNTE0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
"Kill Me, Heal Me",series,2015,N/A,07 Jan 2015,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt4339192,8.3,"3,807",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNzdjMmM2Y2EtN2JhYi00ZmQ4LWJlZWYtMzRjNWQ5ZGU4ZTEwXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX300.jpg
Master's Sun,series,2013,N/A,07 Aug 2013,"Comedy, Fantasy, Horror, Romance",N/A,N/A,Korean,South Korea,tt3184674,8.2,"3,859",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYmEyNzBkZDQtODZjOS00NDQ3LTk2MGYtMTBiNWIyZjMxZDljXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Eulachacha Waikiki,series,2018–2019,N/A,05 Feb 2018,"Comedy, Drama",N/A,N/A,Korean,South Korea,tt7890304,8.3,"1,206",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZmU3YzY2YmYtODRjOC00YjYxLWFjOGUtNmM4YTMzYTEwODYyXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX300.jpg
Arthdal Chronicles,series,2019–,N/A,01 Jun 2019,"Action, Drama, Fantasy, History, Romance",N/A,N/A,Korean,South Korea,tt8750956,8.4,"2,560",N/A,N/A,https://m.media-amazon.com/images/M/MV5BOGVjMjhhYzEtZjA3YS00NDA1LTg0ZGQtYTQ2MzJlOGU1MDBkXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
The King: Eternal Monarch,series,2020,TV-14,17 Apr 2020,"Fantasy, Mystery, Romance",N/A,N/A,Korean,South Korea,tt11228748,8.2,"6,272",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMDk2MDAyNmYtY2VlNS00N2EzLWE4ZDEtMmI0N2ViYzk4ODU4XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
The 1st Shop of Coffee Prince,series,2007,N/A,02 Jul 2007,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt1772685,8.2,"4,218",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNmI4YWMyZDYtNzIwNC00OTZiLWJkNjItYzhmMzY5OWZiYWVkXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg
A Moment to Remember,movie,2004,PG-13,05 Nov 2004,"Drama, Romance",John H. Lee,"Yeong-ha Kim, John H. Lee",Korean,South Korea,tt0428870,8.2,"22,022",N/A,N/A,https://m.media-amazon.com/images/M/MV5BODYzODg5Mjg3Ml5BMl5BanBnXkFtZTgwNDM1MDQ2MzE@._V1_SX300.jpg
Miracle in Cell No. 7,movie,2013,N/A,08 Mar 2013,"Comedy, Drama",Hwan-kyung Lee,"Hwan-kyung Lee (screenplay), Yeong-ah Yoo (screenplay), Hwang-seong Kim (screenplay), Young-seok Kim (screenplay)",Korean,South Korea,tt2659414,8.2,"17,064",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZGFkYzhmOWEtZTlkYi00ZTVkLWI5ZmQtY2IxOTkxMGU4ZWFmXkEyXkFqcGdeQXVyNjg5MjgxODQ@._V1_SX300.jpg
Steven Universe,series,2013–2020,TV-PG,27 Jul 2013,"Animation, Short, Action, Adventure, Comedy, Drama, Family, Fantasy, Musical, Mystery, Sci-Fi, Thriller",N/A,Rebecca Sugar,"Korean, Spanish, English","USA, South Korea, Spain, Japan, Mexico",tt3061046,8.2,"25,931",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTNjMTM1YWYtZWQ3Yy00OGI1LWEyZjUtYTk3OTk5NGIxMzIyXkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_SX300.jpg
Reply 1997,series,2012–2013,N/A,24 Jul 2012,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt2782216,8.2,"1,607",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNThjNzc0YTYtMDAxZS00YTEwLTg0N2ItYjc3NDlkODRlNmM4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Something in the Rain,series,2018,N/A,30 Mar 2018,"Drama, Romance",N/A,N/A,Korean,South Korea,tt8078816,8.1,"3,645",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNmM4ZjUwZDctZTlhYS00NDM3LTgxOTMtNDU0ZmM2YmY4M2I4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Pinocchio,series,2014–2015,TV-14,12 Nov 2014,"Drama, Romance",N/A,N/A,Korean,South Korea,tt4201628,8.1,"5,025",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDViYmViNWItMTY0Ny00YWI0LTg2MDktY2M1NDI5NzUyYWM4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
I Hear Your Voice,series,2013,TV-Y,05 Jun 2013,"Comedy, Drama, Fantasy, Romance",N/A,N/A,Korean,South Korea,tt3141190,8.1,"3,262",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTY0Zjg2ODgtYjRmYS00ODRmLWFiMTAtOTFkMGUxNzA2MjJiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Misty,series,2018–,TV-MA,02 Feb 2018,"Drama, Mystery, Romance, Thriller",N/A,N/A,Korean,South Korea,tt7890244,8.2,362,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNThjNGNlYjktMzgxNC00ZGU3LTgzNjUtY2Y1YmUxMTI3NDZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
What's Wrong with Secretary Kim,series,2018,TV-G,06 Jun 2018,"Comedy, Mystery, Romance",N/A,N/A,Korean,South Korea,tt8242904,8.1,"6,160",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMGM2ODk3MTItN2ZkOS00ODMzLTg1ZjgtMWI3Y2U5ZDNmMzc0XkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg
Defendant,series,2017,N/A,23 Jan 2017,"Crime, Drama, Mystery, Thriller",N/A,N/A,Korean,South Korea,tt6256692,8.2,"1,040",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDE3MDVhZDUtNmQ0Ni00NjYyLWFlOWQtYTgxMDY2ZDVlZTZkL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Chicago Typewriter,series,2017,N/A,07 Apr 2017,"Drama, Fantasy, Romance",N/A,N/A,Korean,South Korea,tt6516076,8.3,"1,138",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNGIyYjM2YjktZTliMi00YzQ4LThkZDctYzY5NDVhMjgwZjA0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Because This Is My First Life,series,2017,N/A,09 Oct 2017,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt7278588,8.1,"2,622",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNzIzNjRiMjEtNDg0Ny00NmUxLThkNDctMDYyOTU2ZjBhYTIyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Itaewon Class,series,2020,TV-MA,31 Jan 2020,"Drama, Romance",N/A,N/A,Korean,South Korea,tt11239552,8.2,"5,991",N/A,N/A,https://m.media-amazon.com/images/M/MV5BODY1NWE2OTctOTU5MC00NTlmLWI2MzktMmYzMTUzYjk4YjEzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Rugal,series,2020–,N/A,28 Mar 2020,"Action, Crime, Sci-Fi, Thriller",N/A,N/A,Korean,South Korea,tt11769798,6.4,533,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZDFmOTBlMjItNDhlMC00ZGM4LTgzOWQtZTJjYzYzODMxZWU3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Spongebob Squarepants,series,1999–,TV-Y,01 May 1999,"Animation, Comedy, Family, Fantasy",N/A,"Stephen Hillenburg, Tim Hill, Nick Jennings, Derek Drymon, Paul Tibbitt, Zeus Cervas, Casey Alexander","English, Spanish, Irish, Korean","USA, Spain, South Korea, North Korea, Canada, UK",tt0206512,8.2,"83,914",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTk2NzEyNTQtZTQ5MS00MjAyLTgzMDMtNDNkYTBkM2M2OTU3XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_SX300.jpg
Good Doctor,series,2013,N/A,05 Aug 2013,"Drama, Romance",N/A,Jae-Beom Park,Korean,South Korea,tt3184708,8.1,"1,419",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjc2NDJiM2EtZTRhMy00NTE1LTg4OTQtOGUwNDc0OGYwNTZiXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
A Korean Odyssey,series,2017–2018,N/A,23 Dec 2017,"Comedy, Fantasy, Horror, Romance",N/A,N/A,Korean,South Korea,tt7099334,8.1,"3,093",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjUzYTU2MmUtMmJjNS00OTAwLTkwZjUtZDI0NzQzMTQ2Mjk0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Oh My Ghost,series,2015,N/A,03 Jul 2015,"Comedy, Drama, Fantasy, Romance",N/A,N/A,Korean,South Korea,tt4799574,8.1,"3,381",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMWRmNDRkN2ItYTEyNS00NWVhLWFkNzgtNWJkM2RkOTcyNWRmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Romance Is a Bonus Book,series,2019,N/A,26 Jan 2019,Romance,N/A,N/A,Korean,South Korea,tt9130542,8.1,"2,936",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTZiMzZjZDUtMmU2MS00MWU4LWFmODYtZmU3ZjlhODYwMGJkXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Legend of the Blue Sea,series,2016–2017,N/A,16 Nov 2016,"Comedy, Fantasy, Romance",N/A,N/A,Korean,South Korea,tt5766194,8.1,"5,499",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjAwZTU3NzUtZDExNi00NDk4LTkzYWItNGEzNDUwOWU0M2Q5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Rookie Historian Goo Hae-Ryung,series,2019,N/A,17 Jul 2019,"Drama, History, Romance",N/A,N/A,Korean,South Korea,tt10406128,8.2,996,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMmVmMjlkMzctNjg3OS00NTk3LWEwNjEtMmIzOTJkN2U3ODY5XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_SX300.jpg
The Light in Your Eyes,series,2019,N/A,11 Feb 2019,"Comedy, Drama, Fantasy, Romance",N/A,N/A,Korean,South Korea,tt9466968,8.0,391,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjgwN2Q5MDYtZjU1YS00MzQxLTg1NjAtZDljY2YxNjg2NjIzXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Boys Over Flowers,series,2009,TV-14,05 Jan 2009,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt1370334,7.9,"8,993",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZmNmMTdhNzItNjM4ZC00NjgxLWIwNWMtMzkxZWZkZWVjMzZkXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Haereul poomeun dal,series,2012,TV-Y,04 Jan 2012,"Drama, Fantasy, Romance",N/A,N/A,Korean,South Korea,tt3143378,8.0,"1,850",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzljZmNjZWUtYzAzNC00NGExLTk2ODMtYTgxNjNiYjY3YTVmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
My Sassy Girl,movie,2001,Not Rated,27 Jul 2001,"Comedy, Drama, Romance",Jae-young Kwak,"Ho-sik Kim (novel), Jae-young Kwak (screenplay)","Korean, English",South Korea,tt0293715,8.0,"45,477",Shin Cine Communications,N/A,https://m.media-amazon.com/images/M/MV5BMjM2NTYxMTE3OV5BMl5BanBnXkFtZTgwNDgwNjgwMzE@._V1_SX300.jpg
Suspicious Partner,series,2017,TV-14,10 May 2017,"Comedy, Crime, Romance",N/A,N/A,Korean,South Korea,tt6720154,7.9,"2,967",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTdjOTUwYmYtNWQ0MC00ZWRkLWI0NmYtMzY5NThhYWVhNGM4XkEyXkFqcGdeQXVyNzk0NTA5NQ@@._V1_SX300.jpg
Come and Hug Me,series,2018,N/A,16 May 2018,"Crime, Drama, Mystery, Romance",N/A,N/A,Korean,South Korea,tt8269398,8.1,659,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMGRlNGQ2YmEtZmE3Ni00NjVmLTlmYmQtODEwNjBiZTY1NDBjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
"Hi Bye, Mama!",series,2020–,N/A,22 Feb 2020,"Comedy, Drama, Fantasy",N/A,N/A,Korean,South Korea,tt11804034,8.0,"1,022",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNzU0NWY5MzQtNjE3Yy00N2M3LThhOTctMDZkM2E1NGJiNmU3XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_SX300.jpg
Grand Prince,series,2018–,N/A,03 Mar 2018,"Drama, Romance",N/A,N/A,Korean,South Korea,tt7923624,8.0,94,N/A,N/A,https://m.media-amazon.com/images/M/MV5BODVhMWIzZTMtNzlkZi00MWFhLWEwNTEtZThhOTJmYjIwZWQ1XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Sungkyunkwan Scandal,series,2010,TV-Y,30 Aug 2010,"Comedy, Drama, History, Romance",N/A,N/A,Korean,South Korea,tt2745682,7.8,"1,270",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMmI5Nzk1NGMtM2E1ZS00OTk2LWJlMDQtYTdkMmE4OGE2ZjRlXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Reply 1994,series,2013,N/A,18 Oct 2013,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt3357586,7.9,948,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTA4NDZmNDEtNjZkYS00ZWNlLTg1MTItZjhkM2JlNmI1MzI0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
The Book of the Three Hans,series,2006–2007,TV-Y,15 May 2006,"Biography, Drama, History",N/A,N/A,Korean,South Korea,tt0978061,7.9,"1,999",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzlkYWQ0ZDctNmQwNC00MDU2LWFmMDctMjg5OTYyYjhmMmEwXkEyXkFqcGdeQXVyNTcyNTg3Nzc@._V1_SX300.jpg
Oh My Venus,series,2015–2016,N/A,16 Nov 2015,"Comedy, Drama, Romance",N/A,N/A,Korean,South Korea,tt5189944,7.9,"3,434",N/A,N/A,https://m.media-amazon.com/images/M/MV5BOTQwMTAzZmQtMTRmYy00MjVmLWFkNzEtMDljY2ZhN2Q5MGYzXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Hwarang: The Poet Warrior Youth,series,2016–2017,N/A,19 Dec 2016,"Comedy, Drama, History, Romance",N/A,N/A,Korean,South Korea,tt5646594,8.0,"2,188",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjg4NjBlOWItMjdlNS00OGM1LTgyMDgtMzZlNTViYjQ5N2RlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTA1NjM0NjQ@._V1_SX300.jpg
One Spring Night,series,2019,N/A,22 May 2019,"Drama, Romance",N/A,N/A,Korean,South Korea,tt10192576,7.9,"1,373",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYzg5YWZmMGItZWM1MC00NWI4LTgxY2ItNzAyZDU0MTRmYTNkXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Chief of Staff,series,2019–,N/A,14 Jun 2019,Drama,N/A,N/A,Korean,South Korea,tt10220476,7.9,287,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZDkyYTM4ZTAtNDQyYy00MmM2LTgxZjktODg4YTAzZDg4Mjc1XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Designated Survivor: 60 Days,series,2019,N/A,01 Jul 2019,"Drama, Thriller",N/A,N/A,Korean,South Korea,tt10405394,8.1,748,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTZmZWIzNGItZGQ1YS00NmM3LTgzYTctNzEzMjIyMjViNTUwXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
When the Camellia Blooms,series,2019,N/A,18 Sep 2019,"Comedy, Drama, Romance, Thriller",N/A,N/A,Korean,South Korea,tt10826064,8.0,"1,435",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjM5ODk0MGItOWFjNS00NjUxLWEwM2EtYzBiYjAwNzE0MmE3XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Save Me,series,2017–2019,TV-14,05 Aug 2017,"Mystery, Thriller",N/A,N/A,Korean,South Korea,tt7020532,8.0,767,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYWJkMTU2ZTctOWI2Yi00NzEwLWI5OTMtNGQwNDViMjdiOWE4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Hospital Playlist,series,2020–2021,N/A,12 Mar 2020,"Comedy, Drama",N/A,N/A,Korean,South Korea,tt11769304,8.7,"1,817",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYmFmNGE1ZTEtMzkwMi00YjNhLWE0ODItZTAxYTAyMmJhMGI3XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX300.jpg
Tower of God,series,2020–,TV-14,01 Apr 2020,"Animation, Action, Adventure, Drama, Fantasy, Mystery",N/A,N/A,Japanese,"Japan, South Korea",tt12057106,7.9,"3,078",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZGM4NjE1OWYtNzcwMC00ZGY0LWE4NjEtZTgzYzY4YWU5M2E3XkEyXkFqcGdeQXVyMzI2Mjc1NjQ@._V1_SX300.jpg
You Are My Destiny,series,2014,TV-14,02 Jul 2014,"Comedy, Romance",N/A,N/A,Korean,South Korea,tt3865722,7.9,"1,811",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNmYzZTM4MmEtNTZjZi00M2YxLWE3ZGEtOTc2NThlYWEyZTY2XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Sunny,movie,2011,PG-13,22 Aug 2011,"Comedy, Drama",Hyeong-Cheol Kang,"Hyeong-Cheol Kang, Byeong-heon Lee (screenplay adaptation)",Korean,South Korea,tt1937339,7.8,"5,166",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTk2MTgxMjgxNl5BMl5BanBnXkFtZTgwOTU2MTAzMjE@._V1_SX300.jpg
She Was Pretty,series,2015,N/A,16 Sep 2015,"Comedy, Romance",N/A,N/A,"Korean, English",South Korea,tt5045900,7.7,"3,617",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNmM5YTc5MmEtMzRjNi00NWVlLTkyMmItNTRhMjViY2JlNzE0XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Voice,series,2017–2021,TV-14,01 Mar 2020,"Action, Crime, Mystery, Thriller",N/A,N/A,Korean,South Korea,tt6212854,7.7,"1,231",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNzU2NWU0MjUtMGE1NS00MGE3LTk4ZTktYzhjMjk3NTBiNWNhXkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX300.jpg
Alhambeura Goongjeonui Chooeok,series,2018–2019,TV-MA,01 Dec 2018,"Drama, Romance, Sci-Fi, Thriller",N/A,N/A,"Korean, English, Spanish",South Korea,tt8236556,7.8,"3,647",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMGZjOTc4ODgtMTA4Yi00ZWFiLWFiZTUtMDk1ZjZmNDlhYTAyXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Splash Splash Love,series,2015–,N/A,10 Dec 2015,"Fantasy, History, Romance",N/A,N/A,Korean,South Korea,tt5290026,7.8,859,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZWI3NTRkMjUtNjFlYi00YjJhLWI5MjQtOTA5MDY4MWExOGIxXkEyXkFqcGdeQXVyNTI4MDA2NDE@._V1_SX300.jpg
